,,,,,,
Connect with me on LinkedIn - https://www.linkedin.com/in/nandhini-raja-8b71b4143/,,,,,,
"Only sheet you need to get placed in super high paying companies including google, amazon, salesforce, microsoft, adobe, etc",,,,,,
Solving time - Easy Problems - 5 to 10mins,,,,,,
Solving time - Medium Problems - 15 to 20mins,,,,,,
Solving time - Hard problems - At max 45mins - 50mins,,,,,,
,,,,,,
"Imp Note: Its not necessary that you know a topic, so for every topic you have here, first understand the basics of the topic, then for every pattern, you can learn the first prob in that pattern and then try solving other probs in that pattern yourself. ",,,,,,
,,,,,,
TOPIC,Problem,Problem link,Solution Tutorial,Solution Article,Solved,Notes
Basics,,,,,,
Beginners basic math probs,,,,,,
,Find even or odd,https://practice.geeksforgeeks.org/problems/odd-or-even3618/1,Best Tutorial link - click to view,Article link-click to view,,
,Find last digit in a number,https://www.geeksforgeeks.org/problems/find-last-digit-of-ab-for-large-numbers1936/1,Best Tutorial link - click to view,Article link-click to view,,
,Count digits in a number(Solving above last digit prob wil make this easy for you),https://practice.geeksforgeeks.org/problems/count-digits5716/1,Best Tutorial link - click to view,Article link-click to view,,
,Reverse a number(Try thinking how you can use above logic in solving this),https://www.geeksforgeeks.org/problems/reverse-digit0316/1,Best Tutorial link - click to view,Article link-click to view,,
,Find power of a number,https://www.geeksforgeeks.org/problems/power-of-numbers-1587115620/1,Best Tutorial link - click to view,Article link-click to view,,
,GCD,https://practice.geeksforgeeks.org/problems/gcd-of-two-numbers3459/1,Best Tutorial link - click to view,Article link-click to view,,
,Print all divisors of a number,https://www.codingninjas.com/studio/problems/print-all-divisors-of-a-number_1164188,Best Tutorial link - click to view,Article link-click to view,,
,Prime number(Try solving by yourself),https://practice.geeksforgeeks.org/problems/prime-number2314/1,Best Tutorial link - click to view,Article link-click to view,,
,"Armstrong number(Solving power of number, will make this easy for you)",https://www.geeksforgeeks.org/problems/armstrong-numbers2727/1,Best Tutorial link - click to view,Article link-click to view,,
,Check palindrome of number(Use the techniques you learnt so far solving above probs and solve this by yourself),https://practice.geeksforgeeks.org/problems/palindrome0746/1,Best Tutorial link - click to view,Article link-click to view,,
,Square root of a number(Try to first figure out algo to solve this),https://www.geeksforgeeks.org/problems/square-root/1,Best Tutorial link - click to view,Article link-click to view,,
,Perfect number,https://practice.geeksforgeeks.org/problems/perfect-numbers3207/1,Best Tutorial link - click to view,Article link-click to view,,
Array - Data structure,"This is a huge topic and array acts as base data structure for many concepts, so lets master the basics in this section. For all the data struture moving forward, make sure to visually note down and understand how it is represented",,,,,
Basics with traversal,,,,,,
,What is an array? How is it represented?,,Best Tutorial link - click to view,Article link-click to view,,
,"Find the maximum and minimum element in array(After solving the search , you can solve all probs in this basics by yourself)",https://www.geeksforgeeks.org/problems/find-minimum-and-maximum-element-in-an-array4428/1,Best Tutorial link - click to view,Article link-click to view,,
,Find third largest element in array,https://practice.geeksforgeeks.org/problems/third-largest-element/1,Best Tutorial link - click to view,Article link-click to view,,
,Search an element in array(Understand how to traverse through the array and how to access the elements),https://www.geeksforgeeks.org/problems/search-an-element-in-an-array-1587115621/1,Best Tutorial link - click to view,Article link-click to view,,
,Find missing number in array,https://practice.geeksforgeeks.org/problems/missing-number-in-array1416/1,Best Tutorial link - click to view,Article link-click to view,,
,Find repeating number in array,,Best Tutorial link - click to view,,,
,"Sort an array of 0s , 1s and 2s (You dont need to know any sorting algo, just using basics, once solved, definitely learn the optimal algo)",https://www.geeksforgeeks.org/problems/sort-an-array-of-0s-1s-and-2s4231/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Check if two arrays are equal or not,https://www.geeksforgeeks.org/problems/check-if-two-arrays-are-equal-or-not3847/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Rotate the array by 1,https://www.geeksforgeeks.org/problems/cyclically-rotate-an-array-by-one2614/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Rotate the array by k,https://www.codingninjas.com/studio/problems/rotate-array_1230543,Best Tutorial link - click to view,Article link-click to view,,
,Array subset of another array,https://www.geeksforgeeks.org/problems/array-subset-of-another-array2317/1,Best Tutorial link - click to view,Article link-click to view,,
,Learn what is map and how its represented before moving forward,,Best Tutorial link - click to view,Article link-click to view,,
,"Count frequency of elements in array(Solve efficiently, try applying what you learnt about map)",https://practice.geeksforgeeks.org/problems/frequency-of-array-elements-1587115620/1,Best Tutorial link - click to view,Article link-click to view,,
"Two pointer(This is very imp pattern, not just for these probs but very commonly you can use this technique)","Just like search, sort, this is also imp technique to learn",,,,,
,Find pair with given sum,https://www.geeksforgeeks.org/problems/key-pair5616/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,3 Sum,https://www.geeksforgeeks.org/problems/triplet-sum-in-array-1587115621/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,4 Sum,https://leetcode.com/problems/4sum/,Best Tutorial link - click to view,Article link-click to view,,
,Find triplets with zero sum,https://www.geeksforgeeks.org/problems/find-triplets-with-zero-sum/1,Best Tutorial link - click to view,Article link-click to view,,
,Find count of triplets,Count the triplets | Practice | GeeksforGeeks,Best Tutorial link - click to view,Article link-click to view,,
